"Title","Artist","Album","YouTubeMusicUrl","AlbumArtUrl"
"boyfriend","Ariana Grande & Social House","boyfriend","https://music.youtube.com/search?q=Ariana%20Grande%20%26%20Social%20House%20boyfriend","https://cdn-images.dzcdn.net/images/cover/7dacf0810eabd79c77303aeff4af8f7d/1000x1000-000000-80-0-0.jpg"
"Be My Baby","Ariana Grande/Cashmere Cat","My Everything","https://music.youtube.com/search?q=Ariana%20Grande%2FCashmere%20Cat%20Be%20My%20Baby","https://cdn-images.dzcdn.net/images/cover/b5021d5a88c44071a97416c65d4dbdd9/1000x1000-000000-80-0-0.jpg"
"Problem","Ariana Grande/Iggy Azalea","My Everything","https://music.youtube.com/search?q=Ariana%20Grande%2FIggy%20Azalea%20Problem","https://cdn-images.dzcdn.net/images/cover/b5021d5a88c44071a97416c65d4dbdd9/1000x1000-000000-80-0-0.jpg"
"Beauty and the Beast","Ariana Grande/John Legend","Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition)","https://music.youtube.com/search?q=Ariana%20Grande%2FJohn%20Legend%20Beauty%20and%20the%20Beast","https://cdn-images.dzcdn.net/images/cover/6ed33c237361bba03434fb31c8cd24dc/1000x1000-000000-80-0-0.jpg"
"Love Me Harder","Ariana Grande/The Weeknd","Hit Mania Champions 2015","https://music.youtube.com/search?q=Ariana%20Grande%2FThe%20Weeknd%20Love%20Me%20Harder","https://cdn-images.dzcdn.net/images/cover/b5021d5a88c44071a97416c65d4dbdd9/1000x1000-000000-80-0-0.jpg"
"Break Free","Ariana Grande/Zedd","My Everything","https://music.youtube.com/search?q=Ariana%20Grande%2FZedd%20Break%20Free","https://cdn-images.dzcdn.net/images/cover/b5021d5a88c44071a97416c65d4dbdd9/1000x1000-000000-80-0-0.jpg"
"Here With You","Asher Monroe","Here With You","https://music.youtube.com/search?q=Asher%20Monroe%20Here%20With%20You","https://cdn-images.dzcdn.net/images/cover/04ef18957396dbb59f32b62a99761412/1000x1000-000000-80-0-0.jpg"
"Try","Asher Monroe","Windows Of Time","https://music.youtube.com/search?q=Asher%20Monroe%20Try","https://cdn-images.dzcdn.net/images/cover/a8a4a8a04e3edcba185b86e393b4a0b6/1000x1000-000000-80-0-0.jpg"
"Crank It Up","Ashley Tisdale","Crank It Up","https://music.youtube.com/search?q=Ashley%20Tisdale%20Crank%20It%20Up","https://cdn-images.dzcdn.net/images/cover/e5a632af088bca5b5d62648aa5c929b5/1000x1000-000000-80-0-0.jpg"
"You're Always Here","Ashley Tisdale","You’re Always Here","https://music.youtube.com/search?q=Ashley%20Tisdale%20You%27re%20Always%20Here","https://cdn-images.dzcdn.net/images/cover/8a31fadf82b47509e9f8904d92d76219/1000x1000-000000-80-0-0.jpg"
"Ghost (Acoustic)","Au/Ra","Ghost (acoustic version)","https://music.youtube.com/search?q=Au%2FRa%20Ghost%20%28Acoustic%29","https://cdn-images.dzcdn.net/images/cover/cd604ca7412e3000e90b7a19ff6176aa/1000x1000-000000-80-0-0.jpg"
